iso,pais,anio,pib_per_capita,exportaciones_pc,exportaciones_usd,poblacion,inflacion
CHN,China,1990,318.50335359039,13.5882641172526,49129758920,1135185000,3.05229012075233
CHN,China,1991,334.130288119078,14.4450323111337,55542659170,1150780000,3.55668565220452
CHN,China,1992,367.822651903542,15.6002410213269,66847400129,1164970000,6.35398134024869
CHN,China,1993,378.939353053314,16.6339975209836,74280328750,1178440000,14.6100786356602
CHN,China,1994,475.677874448369,18.4515778259707,104607445198,1191835000,24.2569897243361
CHN,China,1995,612.680277898627,17.8624291729756,131858826000,1204855000,16.7912268492666
CHN,China,1996,713.337387811657,17.8247104643429,154811877000.001,1217550000,8.3131587270211
CHN,China,1997,786.743548510999,19.3692945938508,187447040000,1230075000,2.78646505531882
CHN,China,1998,835.095348597432,18.1992267514817,188750394176,1241935000,-0.773186011549318
CHN,China,1999,881.146614068925,18.0006905864312,198699399635,1252735000,-1.40147268276465
CHN,China,2000,969.199513696287,20.681599363293,253092089737,1262645000,0.347811226864587
CHN,China,2001,1065.40597574519,20.0776873829946,272060010515.89,1271850000,0.719125609120114
CHN,China,2002,1163.55957673426,22.3518233715808,333002310923.451,1280400000,-0.731970902350244
CHN,China,2003,1306.97245408557,26.6023738514511,447958253781.62,1288400000,1.12760348729637
CHN,China,2004,1530.92726215723,30.6097162464404,607356934124.72,1296075000,3.82463743108159
CHN,China,2005,1777.64496828464,33.3687977498922,773339005396.99,1303720000,1.77641407667571
CHN,China,2006,2129.25696999613,35.5268468681701,991731387760.501,1311020000,1.6494309945586
CHN,China,2007,2734.72709877693,34.9066956194649,1258056795940.68,1317885000,4.81676767378834
CHN,China,2008,3523.44302065213,32.092513602143,1497868782939.59,1324655000,5.92525137041092
CHN,China,2009,3898.24459158811,24.3307718125403,1262664161019.72,1331260000,-0.728165250932898
CHN,China,2010,4629.24551710077,26.7227451502469,1654823329663.86,1337705000,3.17532475269199
CHN,China,2011,5703.76027973346,26.1518828948759,2006308960976.47,1345035000,5.55389892257493
CHN,China,2012,6405.0574241349,25.07670432956,2175069254663.85,1354190000,2.61952432645541
CHN,China,2013,7147.03518622344,24.1633430905854,2354264539609.2,1363240000,2.62105001748115
CHN,China,2014,7781.06597484974,23.0719766947263,2462825804851.16,1371860000,1.92164162788521
CHN,China,2015,8175.33285077393,20.9390642234326,2362097053274.6,1379860000,1.43702380935655
CHN,China,2016,8254.86859320357,19.2036507365412,2199974853570.14,1387790000,2.00000182191943
CHN,China,2017,8979.67652709856,19.3356301657728,2424216052098.35,1396215000,1.59313600071436
CHN,China,2018,10085.6638148819,18.770519802938,2655609176087.45,1402760000,2.07479039965576
CHN,China,2019,10342.9009524335,18.1398222864053,2641188436776.47,1407745000,2.89923416358227
CHN,China,2020,10627.4637989619,18.2696013805051,2739785089628.44,1411100000,2.41942189457782
CHN,China,2021,12887.4357242941,19.4350556514909,3537510275663.96,1412360000,0.981015135544882
CHN,China,2022,12970.6056414327,20.227756033041,3705070541732.88,1412175000,1.97357555739051
CHN,China,2023,12951.1782397043,19.4023091648376,3544871083631.02,1410710000,0.234836828893051
CHN,China,2024,13293.1162269366,20.4428283665891,3828873971971.62,1408975000,0.218128938439177
CHN,China,2025,13861.970224368,21.0711983566772,4108470555117.51,1406585000,0.0595646916565403
COL,Colombia,1990,1474.8455285342,18.8626690286416,9024672480.38864,32440069,29.1520245976215
COL,Colombia,1991,1485.73971889208,19.0945389024404,9389847563.38362,33098372,30.3878204854436
COL,Colombia,1992,1730.39091795329,16.5185546953654,9649972062.93192,33760571,27.0106266231361
COL,Colombia,1993,1929.26721811738,15.1844952854784,10089611942.598,34441473,22.4424828533275
COL,Colombia,1994,2325.91872973374,14.9983618345688,12254186688.3985,35127410,22.8462417553045
COL,Colombia,1995,2583.66576349858,14.5337428892103,13444770139.3343,35804662,20.8917930194849
COL,Colombia,1996,2664.64056059983,15.199461701397,14767813598.716,36462745,20.7975755127402
COL,Colombia,1997,2873.2814350993,14.8415437434707,15829917576.649,37121149,18.4700217119089
COL,Colombia,1998,2604.87166959518,15.0073508369912,14773797430.026,37792165,18.6769799276672
COL,Colombia,1999,2241.22911801216,18.3465787501541,15812211474.8338,38454863,10.8736870857471
COL,Colombia,2000,2555.00751039968,15.915139715438,15895257719.3545,39089934,9.22534818585366
COL,Colombia,2001,2472.99084035833,15.3871357665009,15110265985.5399,39709262,7.96556090304834
COL,Colombia,2002,2428.92969771584,14.8155696775272,14511230142.0322,40324680,6.35150728778872
COL,Colombia,2003,2311.94218760291,16.5752997117627,15687687299.8944,40937429,7.1297886294186
COL,Colombia,2004,2818.57195413044,16.7707514248023,19637278136.3897,41543171,5.90402005546502
COL,Colombia,2005,3456.06610874512,16.9710437391629,24709929563.8536,42128977,5.05101962689696
COL,Colombia,2006,3789.85361217027,17.7285877506525,28683606693.826,42691084,4.29342363628927
COL,Colombia,2007,4769.926147194,16.4331421263646,33889993566.9701,43235374,5.54438485815156
COL,Colombia,2008,5541.83629665898,18.1095951350739,43916519836.3982,43758808,6.99688495554511
COL,Colombia,2009,5250.97292433518,16.4244956875755,38181805547.3998,44271541,4.20251661216482
COL,Colombia,2010,6398.2958447102,16.3408447597691,46816280695.4722,44777319,2.27200227892008
COL,Colombia,2011,7400.9940695669,19.2765050733171,64569763969.5584,45259614,3.4150334477625
COL,Colombia,2012,8108.59838244229,18.8112052836654,69731471881.4892,45715810,3.16930188840055
COL,Colombia,2013,8279.10255642981,18.0864397214368,69107146201.365,46151584,2.01699224310383
COL,Colombia,2014,8187.20824890084,16.6347491096509,63418461300.1317,46565429,2.89883787761738
COL,Colombia,2015,6248.51490534512,15.6502115094968,45932176699.4658,46969940,4.9898311584953
COL,Colombia,2016,5959.84250367574,14.7171392781975,41608310926.5839,47437512,7.51346024627675
COL,Colombia,2017,6479.53231292429,15.1452897484005,47233141871.792,48131078,4.31431325695011
COL,Colombia,2018,6816.96818309544,15.8997196775431,53136579844.9701,49024465,3.24056932930569
COL,Colombia,2019,6472.54544924705,15.8680386541241,51258795210.3544,49907985,3.52301932741447
COL,Colombia,2020,5339.68711357943,13.5222755593302,36557247848.5389,50629997,2.52663500084706
COL,Colombia,2021,6222.62164397614,16.1970059548864,51591453811.2973,51188173,3.49505757399448
COL,Colombia,2022,6680.44506854481,20.3883679938331,70468824548.812,51737944,10.1772313546166
COL,Colombia,2023,7012.49169137756,17.8077746975806,65337018068.8426,52321152,11.7359044948689
COL,Colombia,2024,7951.08624019412,16.0804545104347,67618959764.1375,52886363,6.60908593728228
COL,Colombia,2025,8561.62091854449,14.9840475310756,68538536936.8153,53425635,5.14222911946201
KOR,Corea del Sur,1990,6812.9019416767,24.1685799511012,70587774854.9588,42869283,8.57327225728677
KOR,Corea del Sur,1991,7872.65052449111,22.9875474516622,78353503011.4407,43295704,9.33279048161495
KOR,Corea del Sur,1992,8387.16308258471,23.2612780314303,85350581847.8633,43747962,6.21328146355184
KOR,Corea del Sur,1993,9179.96872485152,22.8587756465728,92739264963.918,44194628,4.80099660215354
KOR,Corea del Sur,1994,10733.9888860657,23.5069868149485,112641201186.191,44641540,6.26585950039679
KOR,Corea del Sur,1995,13001.7205867019,25.0908528792617,147104275488.339,45092991,4.48074108557248
KOR,Corea del Sur,1996,13864.9376534518,24.1509711908027,152440172723.513,45524681,4.92454354292754
KOR,Corea del Sur,1997,12821.6893313675,27.4728903732725,161870964161.056,45953580,4.4389318457463
KOR,Corea del Sur,1998,8583.43557499234,38.2368909900718,151914103576.708,46286503,7.51358008079307
KOR,Corea del Sur,1999,11062.5019301357,31.5122613381554,162507811338.788,46616677,0.81295725444637
KOR,Corea del Sur,2000,12710.2995795579,32.8643016483147,196359987002.164,47008111,2.25916580080157
KOR,Corea del Sur,2001,11981.4828218758,30.8628730280238,175166805500.193,47370164,4.06657587897792
KOR,Corea del Sur,2002,13642.9424537101,28.869081069037,187653181633.942,47644736,2.76226210296599
KOR,Corea del Sur,2003,15211.5483770422,30.4447497818826,221795023926.368,47892330,3.51487451459939
KOR,Corea del Sur,2004,17121.6301633201,35.6099304973786,293159147249.081,48082519,3.59066298882578
KOR,Corea del Sur,2005,20167.0474902506,34.1271966602876,331627733440.925,48184561,2.75379162735039
KOR,Corea del Sur,2006,22609.7059431449,34.4457182771661,377241080634.967,48438292,2.24234028518921
KOR,Corea del Sur,2007,25078.4853957105,36.0414909532161,440034853640.644,48683638,2.53457382137932
KOR,Corea del Sur,2008,22252.3125108061,45.8471508377288,500458646625.411,49054708,4.67389655533408
KOR,Corea del Sur,2009,19937.3029137734,43.5106195264818,427737777325.304,49307835,2.7564965449393
KOR,Corea del Sur,2010,24071.2620526362,45.2718606886955,540016342977.708,49554112,2.93928652655686
KOR,Corea del Sur,2011,26175.2398553363,51.2813207677942,670299926919.72,49936638,4.0259650043609
KOR,Corea del Sur,2012,26600.5477433903,52.0235312085188,694692887431.358,50199853,2.18707104433314
KOR,Corea del Sur,2013,28449.3591104972,49.2338591040691,706343252061.106,50428893,1.30134754547413
KOR,Corea del Sur,2014,30667.0912467447,45.7876203673052,712570950951.712,50746659,1.27477446401322
KOR,Corea del Sur,2015,30171.7906545222,40.9681314540182,630586518885.63,51014947,0.70633177245575
KOR,Corea del Sur,2016,30832.0628072516,38.1129875583911,601861440813.944,51217803,0.971685739912168
KOR,Corea del Sur,2017,33296.9845439195,38.8488899920532,664392456663.161,51361911,1.94433230786366
KOR,Corea del Sur,2018,35363.9508228687,39.4523497931837,719710064860.371,51585058,1.47583935002645
KOR,Corea del Sur,2019,33826.9443301597,37.0413266370488,648610576582.722,51764822,0.383000303608136
KOR,Corea del Sur,2020,33645.7719545073,34.6152001987888,603713417774.2,51836239,0.537288023411737
KOR,Corea del Sur,2021,37518.4635305697,39.3388192669479,764083221345.796,51769539,2.49833333333339
KOR,Corea del Sur,2022,34822.4048404971,45.294860984133,815019022384.453,51672569,5.08951365062842
KOR,Corea del Sur,2023,35674.095995632,41.3214807367697,762299062736.35,51712619,3.5974562502901
KOR,Corea del Sur,2024,36238.639908315,44.3582383593234,831889172091.318,51751065,2.32174328643542
KOR,Corea del Sur,2025,36226.9663637512,45.7630385215931,856855674924.231,51684564,2.12309421458659
CRI,Costa Rica,1990,1829.6687089559,34.1902683361643,1952841380.81713,3121706,19.0397526635649
CRI,Costa Rica,1991,2253.3819611182,33.4061071681073,2410493038.49304,3202176,28.7092913706618
CRI,Costa Rica,1992,2612.38762395528,35.2817505483681,3027087740.20557,3284258,21.791168790061
