clave,fecha,cierre
BIMBOA.MX,2023-05-25,93.48999786376953
BIMBOA.MX,2023-05-26,93.720001220703125
BIMBOA.MX,2023-05-29,93.56999969482422
BIMBOA.MX,2023-05-30,92.62000274658203
BIMBOA.MX,2023-05-31,94.839996337890625
BIMBOA.MX,2023-06-01,93.4800033569336
BIMBOA.MX,2023-06-02,92.51000213623047
BIMBOA.MX,2023-06-05,92.61000061035156
BIMBOA.MX,2023-06-06,92.2699966430664
BIMBOA.MX,2023-06-07,91.73999786376953
BIMBOA.MX,2023-06-08,93.220001220703125
BIMBOA.MX,2023-06-09,94.1500015258789
BIMBOA.MX,2023-06-12,92.6500015258789
BIMBOA.MX,2023-06-13,91.5
BIMBOA.MX,2023-06-14,93.62000274658203
BIMBOA.MX,2023-06-15,92.76000213623047
BIMBOA.MX,2023-06-16,92.13999938964844
BIMBOA.MX,2023-06-19,91.910003662109375
BIMBOA.MX,2023-06-20,91.839996337890625
BIMBOA.MX,2023-06-21,92.41999816894531
BIMBOA.MX,2023-06-22,91.37000274658203
BIMBOA.MX,2023-06-23,91.81999969482422
BIMBOA.MX,2023-06-26,90.6500015258789
BIMBOA.MX,2023-06-27,91.0199966430664
BIMBOA.MX,2023-06-28,90.70999908447266
BIMBOA.MX,2023-06-29,91.16999816894531
BIMBOA.MX,2023-06-30,91.94000244140625
BIMBOA.MX,2023-07-03,93
BIMBOA.MX,2023-07-04,92.44999694824219
BIMBOA.MX,2023-07-05,90.91999816894531
BIMBOA.MX,2023-07-06,88.9000015258789
BIMBOA.MX,2023-07-07,88.839996337890625
BIMBOA.MX,2023-07-10,87.51000213623047
BIMBOA.MX,2023-07-11,89.63999938964844
BIMBOA.MX,2023-07-12,88.31999969482422
BIMBOA.MX,2023-07-13,89.70999908447266
BIMBOA.MX,2023-07-14,89.62999725341797
BIMBOA.MX,2023-07-17,88.70999908447266
BIMBOA.MX,2023-07-18,90.5
BIMBOA.MX,2023-07-19,87.7699966430664
BIMBOA.MX,2023-07-20,87.04000091552734
BIMBOA.MX,2023-07-21,88.720001220703125
BIMBOA.MX,2023-07-24,86.8499984741211
BIMBOA.MX,2023-07-25,87.87000274658203
BIMBOA.MX,2023-07-26,87.94999694824219
BIMBOA.MX,2023-07-27,86.94000244140625
BIMBOA.MX,2023-07-28,88.75
BIMBOA.MX,2023-07-31,87.029998779296875
BIMBOA.MX,2023-08-01,83.529998779296875
BIMBOA.MX,2023-08-02,83.05999755859375
BIMBOA.MX,2023-08-03,87.029998779296875
BIMBOA.MX,2023-08-04,89.61000061035156
BIMBOA.MX,2023-08-07,89.11000061035156
BIMBOA.MX,2023-08-08,87.589996337890625
BIMBOA.MX,2023-08-09,89.55999755859375
BIMBOA.MX,2023-08-10,89.470001220703125
BIMBOA.MX,2023-08-11,88.61000061035156
BIMBOA.MX,2023-08-14,88.44999694824219
BIMBOA.MX,2023-08-15,89.55999755859375
BIMBOA.MX,2023-08-16,90.8499984741211
BIMBOA.MX,2023-08-17,89.98999786376953
BIMBOA.MX,2023-08-18,88.80999755859375
BIMBOA.MX,2023-08-21,88.48999786376953
BIMBOA.MX,2023-08-22,88.62999725341797
BIMBOA.MX,2023-08-23,89.529998779296875
BIMBOA.MX,2023-08-24,88.7300033569336
BIMBOA.MX,2023-08-25,86.8499984741211
BIMBOA.MX,2023-08-28,87.9000015258789
BIMBOA.MX,2023-08-29,88.2300033569336
BIMBOA.MX,2023-08-30,87.9800033569336
BIMBOA.MX,2023-08-31,83.88999938964844
BIMBOA.MX,2023-09-01,84.62000274658203
BIMBOA.MX,2023-09-04,84
BIMBOA.MX,2023-09-05,83.910003662109375
BIMBOA.MX,2023-09-06,84.470001220703125
BIMBOA.MX,2023-09-07,83.1500015258789
BIMBOA.MX,2023-09-08,83.68000030517578
BIMBOA.MX,2023-09-11,84.62000274658203
BIMBOA.MX,2023-09-12,83.9000015258789
BIMBOA.MX,2023-09-13,82.5999984741211
BIMBOA.MX,2023-09-14,82.19000244140625
BIMBOA.MX,2023-09-15,81.9000015258789
BIMBOA.MX,2023-09-18,82.62999725341797
BIMBOA.MX,2023-09-19,82.69999694824219
BIMBOA.MX,2023-09-20,83.3499984741211
BIMBOA.MX,2023-09-21,82.05000305175781
BIMBOA.MX,2023-09-22,82.44000244140625
BIMBOA.MX,2023-09-25,83.0199966430664
BIMBOA.MX,2023-09-26,85.06999969482422
BIMBOA.MX,2023-09-27,85.80000305175781
BIMBOA.MX,2023-09-28,84.81999969482422
BIMBOA.MX,2023-09-29,83.779998779296875
BIMBOA.MX,2023-10-02,82.98999786376953
BIMBOA.MX,2023-10-03,81.88999938964844
BIMBOA.MX,2023-10-04,81.279998779296875
BIMBOA.MX,2023-10-05,82.80999755859375
BIMBOA.MX,2023-10-06,82.38999938964844
BIMBOA.MX,2023-10-09,81.470001220703125
BIMBOA.MX,2023-10-10,82.30000305175781
BIMBOA.MX,2023-10-11,79.80999755859375
BIMBOA.MX,2023-10-12,78.91999816894531
BIMBOA.MX,2023-10-13,78.220001220703125
BIMBOA.MX,2023-10-16,78.61000061035156
BIMBOA.MX,2023-10-17,78.470001220703125
BIMBOA.MX,2023-10-18,77.589996337890625
BIMBOA.MX,2023-10-19,75.089996337890625
BIMBOA.MX,2023-10-20,73.38999938964844
BIMBOA.MX,2023-10-23,74.9000015258789
BIMBOA.MX,2023-10-24,73.76000213623047
BIMBOA.MX,2023-10-25,75.29000091552734
BIMBOA.MX,2023-10-26,75.0999984741211
BIMBOA.MX,2023-10-27,72.62000274658203
BIMBOA.MX,2023-10-30,70.01000213623047
BIMBOA.MX,2023-10-31,73.18000030517578
BIMBOA.MX,2023-11-01,75.8499984741211
BIMBOA.MX,2023-11-03,78.66999816894531
BIMBOA.MX,2023-11-06,82.25
BIMBOA.MX,2023-11-07,80.779998779296875
BIMBOA.MX,2023-11-08,80.04000091552734
BIMBOA.MX,2023-11-09,80.69000244140625
BIMBOA.MX,2023-11-10,80.5
BIMBOA.MX,2023-11-13,79.839996337890625
BIMBOA.MX,2023-11-14,82.69000244140625
BIMBOA.MX,2023-11-15,83.25
BIMBOA.MX,2023-11-16,83.70999908447266
BIMBOA.MX,2023-11-17,83.44000244140625
BIMBOA.MX,2023-11-21,84.9800033569336
BIMBOA.MX,2023-11-22,85
BIMBOA.MX,2023-11-23,85.36000061035156
BIMBOA.MX,2023-11-24,85.87999725341797
BIMBOA.MX,2023-11-27,85.9800033569336
BIMBOA.MX,2023-11-28,86
BIMBOA.MX,2023-11-29,86.5199966430664
BIMBOA.MX,2023-11-30,87.279998779296875
BIMBOA.MX,2023-12-01,87.2699966430664
BIMBOA.MX,2023-12-04,87.410003662109375
BIMBOA.MX,2023-12-05,88.93000030517578
BIMBOA.MX,2023-12-06,89
BIMBOA.MX,2023-12-07,88.94000244140625
BIMBOA.MX,2023-12-08,87.160003662109375
BIMBOA.MX,2023-12-11,87.05000305175781
BIMBOA.MX,2023-12-13,88.38999938964844
BIMBOA.MX,2023-12-14,88.13999938964844
BIMBOA.MX,2023-12-15,88.54000091552734
BIMBOA.MX,2023-12-18,89.25
BIMBOA.MX,2023-12-19,87.30000305175781
BIMBOA.MX,2023-12-20,86.7300033569336
BIMBOA.MX,2023-12-21,88.160003662109375
BIMBOA.MX,2023-12-22,88.660003662109375
BIMBOA.MX,2023-12-26,88.23999786376953
BIMBOA.MX,2023-12-27,87.68000030517578
BIMBOA.MX,2023-12-28,87.33000183105469
BIMBOA.MX,2023-12-29,85.86000061035156
BIMBOA.MX,2024-01-02,86.98999786376953
BIMBOA.MX,2024-01-03,84.68000030517578
BIMBOA.MX,2024-01-04,84.7699966430664
BIMBOA.MX,2024-01-05,88.339996337890625
BIMBOA.MX,2024-01-08,86.11000061035156
BIMBOA.MX,2024-01-09,84.43000030517578
BIMBOA.MX,2024-01-10,84.12999725341797
BIMBOA.MX,2024-01-11,84.70999908447266
BIMBOA.MX,2024-01-12,85.5
BIMBOA.MX,2024-01-15,84.73999786376953
BIMBOA.MX,2024-01-16,87.01000213623047
BIMBOA.MX,2024-01-17,85.9000015258789
BIMBOA.MX,2024-01-18,84.5
BIMBOA.MX,2024-01-19,84.25
BIMBOA.MX,2024-01-22,78.30999755859375
BIMBOA.MX,2024-01-23,78.05999755859375
BIMBOA.MX,2024-01-24,77.4000015258789
BIMBOA.MX,2024-01-25,76.94000244140625
BIMBOA.MX,2024-01-26,79.04000091552734
BIMBOA.MX,2024-01-29,79.54000091552734
BIMBOA.MX,2024-01-30,77.589996337890625
BIMBOA.MX,2024-01-31,78.26000213623047
BIMBOA.MX,2024-02-01,78.5199966430664
BIMBOA.MX,2024-02-02,77.9000015258789
BIMBOA.MX,2024-02-06,81.4000015258789
BIMBOA.MX,2024-02-07,79.45999908447266
BIMBOA.MX,2024-02-08,79.56999969482422
BIMBOA.MX,2024-02-09,78.56999969482422
BIMBOA.MX,2024-02-12,78.80999755859375
BIMBOA.MX,2024-02-13,78.029998779296875
BIMBOA.MX,2024-02-14,77.660003662109375
BIMBOA.MX,2024-02-15,78.68000030517578
BIMBOA.MX,2024-02-16,77.62000274658203
BIMBOA.MX,2024-02-19,79.13999938964844
BIMBOA.MX,2024-02-20,76.11000061035156
BIMBOA.MX,2024-02-21,74.75
BIMBOA.MX,2024-02-22,72.87000274658203
BIMBOA.MX,2024-02-23,73.62999725341797
BIMBOA.MX,2024-02-26,72.68000030517578
BIMBOA.MX,2024-02-27,73.29000091552734
BIMBOA.MX,2024-02-28,72.279998779296875
BIMBOA.MX,2024-02-29,71.30999755859375
BIMBOA.MX,2024-03-01,71.58000183105469
BIMBOA.MX,2024-03-04,71.720001220703125
BIMBOA.MX,2024-03-05,72.4800033569336
BIMBOA.MX,2024-03-06,71.9000015258789
BIMBOA.MX,2024-03-07,72
BIMBOA.MX,2024-03-08,71.69000244140625
BIMBOA.MX,2024-03-11,71.9800033569336
BIMBOA.MX,2024-03-12,71.81999969482422
BIMBOA.MX,2024-03-13,70.94999694824219
BIMBOA.MX,2024-03-14,71.62000274658203
BIMBOA.MX,2024-03-15,71.18000030517578
BIMBOA.MX,2024-03-19,73.75
BIMBOA.MX,2024-03-20,77.6500015258789
BIMBOA.MX,2024-03-21,76.31999969482422
BIMBOA.MX,2024-03-22,73.87999725341797
BIMBOA.MX,2024-03-25,77.69999694824219
BIMBOA.MX,2024-03-26,79.19999694824219
BIMBOA.MX,2024-03-27,78.69999694824219
BIMBOA.MX,2024-04-01,77.44999694824219
BIMBOA.MX,2024-04-02,76.529998779296875
BIMBOA.MX,2024-04-03,73.95999908447266
BIMBOA.MX,2024-04-04,71.93000030517578
BIMBOA.MX,2024-04-05,73.529998779296875
BIMBOA.MX,2024-04-08,72.12999725341797
BIMBOA.MX,2024-04-09,70.70999908447266
BIMBOA.MX,2024-04-10,69.160003662109375
BIMBOA.MX,2024-04-11,69.19000244140625
BIMBOA.MX,2024-04-12,68.69999694824219
BIMBOA.MX,2024-04-15,66.9800033569336
BIMBOA.MX,2024-04-16,67.68000030517578
BIMBOA.MX,2024-04-17,66.12000274658203
BIMBOA.MX,2024-04-18,66.9800033569336
BIMBOA.MX,2024-04-19,69
BIMBOA.MX,2024-04-22,70.86000061035156
BIMBOA.MX,2024-04-23,69.12000274658203
BIMBOA.MX,2024-04-24,69.26000213623047
BIMBOA.MX,2024-04-25,70.36000061035156
BIMBOA.MX,2024-04-26,68.69000244140625
BIMBOA.MX,2024-04-29,70.12000274658203
BIMBOA.MX,2024-04-30,71.62000274658203
BIMBOA.MX,2024-05-02,72.5999984741211
BIMBOA.MX,2024-05-03,70
BIMBOA.MX,2024-05-06,69.81999969482422
BIMBOA.MX,2024-05-07,71.23999786376953
BIMBOA.MX,2024-05-08,70.7300033569336
BIMBOA.MX,2024-05-09,72.5999984741211
BIMBOA.MX,2024-05-10,69.839996337890625
BIMBOA.MX,2024-05-13,70.36000061035156
BIMBOA.MX,2024-05-14,69.660003662109375
BIMBOA.MX,2024-05-15,70.55999755859375
BIMBOA.MX,2024-05-16,71.45999908447266
BIMBOA.MX,2024-05-17,69.88999938964844
BIMBOA.MX,2024-05-20,69.81999969482422
BIMBOA.MX,2024-05-21,69.94000244140625
BIMBOA.MX,2024-05-22,70.29000091552734
BIMBOA.MX,2024-05-23,68.05000305175781
BIMBOA.MX,2024-05-24,66.160003662109375
BIMBOA.MX,2024-05-27,66
BIMBOA.MX,2024-05-28,66.3499984741211
BIMBOA.MX,2024-05-29,65.38999938964844
BIMBOA.MX,2024-05-30,65.48999786376953
BIMBOA.MX,2024-05-31,63.79999923706055
BIMBOA.MX,2024-06-03,64.029998779296875
BIMBOA.MX,2024-06-04,68.55999755859375
BIMBOA.MX,2024-06-05,70.660003662109375
BIMBOA.MX,2024-06-06,69.70999908447266
BIMBOA.MX,2024-06-07,67.88999938964844
BIMBOA.MX,2024-06-10,70.9000015258789
BIMBOA.MX,2024-06-11,69.41999816894531
BIMBOA.MX,2024-06-12,69.33000183105469
BIMBOA.MX,2024-06-13,67.529998779296875
BIMBOA.MX,2024-06-14,67.05000305175781
BIMBOA.MX,2024-06-17,66.70999908447266
BIMBOA.MX,2024-06-18,69.69000244140625
BIMBOA.MX,2024-06-19,70.29000091552734
BIMBOA.MX,2024-06-20,70.54000091552734
BIMBOA.MX,2024-06-21,68
BIMBOA.MX,2024-06-24,65.7699966430664
BIMBOA.MX,2024-06-25,64.720001220703125
BIMBOA.MX,2024-06-26,65.410003662109375
BIMBOA.MX,2024-06-27,65.37000274658203
BIMBOA.MX,2024-06-28,64.61000061035156
BIMBOA.MX,2024-07-01,66.58000183105469
BIMBOA.MX,2024-07-02,63.15999984741211
BIMBOA.MX,2024-07-03,63.400001525878906
BIMBOA.MX,2024-07-04,63.290000915527344
BIMBOA.MX,2024-07-05,63
BIMBOA.MX,2024-07-08,63.41999816894531
BIMBOA.MX,2024-07-09,63.720001220703125
BIMBOA.MX,2024-07-10,64
BIMBOA.MX,2024-07-11,64.01000213623047
BIMBOA.MX,2024-07-12,64.94999694824219
BIMBOA.MX,2024-07-15,64.87000274658203
BIMBOA.MX,2024-07-16,64.94000244140625
BIMBOA.MX,2024-07-17,64.7300033569336
BIMBOA.MX,2024-07-18,63.66999816894531
BIMBOA.MX,2024-07-19,65.08000183105469
BIMBOA.MX,2024-07-22,64.93000030517578
BIMBOA.MX,2024-07-23,65.08000183105469
BIMBOA.MX,2024-07-24,65.44999694824219
BIMBOA.MX,2024-07-25,69.0199966430664
BIMBOA.MX,2024-07-26,67.55000305175781
BIMBOA.MX,2024-07-29,68.19000244140625
BIMBOA.MX,2024-07-30,64.93000030517578
BIMBOA.MX,2024-07-31,65.589996337890625
BIMBOA.MX,2024-08-01,65.45999908447266
BIMBOA.MX,2024-08-02,67
BIMBOA.MX,2024-08-05,65.0999984741211
BIMBOA.MX,2024-08-06,66.98999786376953
BIMBOA.MX,2024-08-07,67.56999969482422
